Term Label,Data Group,Units,Min,Max,SN0000,SN1111
Program,,,,,FakeProgram,FakeProgram
Space Vehicle,,,,,SV1,SV1
Data,,,,,SN0000,SN1111
Program Name,Document Profile,,,,Hyperion Dragonfly Propulsion Demo,Hyperion Dragonfly Propulsion Demo
Serial Number,Document Profile,,,,SN42-AX,SN42-AX
Date Compiled,Document Profile,,,,2025-01-17,2025-01-17
Source Bundle Path,Document Profile,,,,/Data Packages/Hyperion_SV3_SN42_RevE,IData Packages/Hyperion_SV3_SN42_RevE
Chamber Pressure Over,Functional Acceptance,,7,8.1,8,N/A
Chamber Pressure Units,Functional Acceptance,,,,psia,psia
Harness Resistance,Functional Acceptance,,4.8,5.3,6.1 (range violation),6.1 (range violation)
Harness Resistance Quality,Functional Acceptance,,,,resistance,failure
Thrust Nominal Value,Performance KPI,,4.8,5.5,5.32,5.32
Thrust Nominal Target,Performance KPI,,4.8,5.5,N/A,N/A
Thrust Nominal Confidence,Performance KPI,,0,1,0.97,0.97
Power Draw Peak,Performance KPI,,130,155,131,131
Power Draw Peak Source,Performance KPI,,,,Table 4,Table 4
Power Draw Idle Source,Performance KPI,,,,Table 4,Table 4
Thermal Margin Low,Performance KPI,,,,8,8
Thermal Soak High Status,Environmental,,,,N/A,N/A
Thermal Soak High Duration,Environmental,,,,,1.5
Random Vib Z Amplitude,Environmental,,12,12,12,12
TC-02 Post Trim,Calibration,,0.99,1.01,0.9989,0.9989
LVDT-2 Status,Calibration,,,,INCOMPLETE,Missing
LVDT-2 Pre-Trim,Calibration,,,,1.004,1.004
