pdf_file,Program Name,Vehicle Number,Serial Component,Term Label,Data Group,Search Term,found,page,Extracted Value,units,Units Hint,Range Min,Range Max,Text Source,Smart Score,Smart Snap Type,Smart Conflict,Smart Secondary Found,Group After,Group Before,Error Reason
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Program Name,Document Profile,Program Name,True,1,Hyperion Dragonfly Propulsion Demo,,N|A,,,ocr,,title,,,Field,ignition_delay,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Serial Number,Document Profile,Serial Number,True,1,SN42-AX,,N|A,,,ocr,,title,,,Field,ignition_delay,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Date Compiled,Document Profile,Date Compiled,True,1,2025-01-17,,,,,ocr,,date,,,Field,ignition_delay,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Source Bundle Path,Document Profile,Source Bundle Path,True,1,IData Packages/Hyperion_SV3_SN42_RevE,,N|A,,,ocr,,title,,,Field,thrust_nominal,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Chamber Pressure Over,Functional Acceptance,Chamber Pressure Over,False,,,,psia,7.0,8.1,,,number,,,Source Bundle,thrust_nominal,Smart snap: group_after anchor 'Source Bundle' not found; group_before anchor 'thrust_nominal' not found; numeric values found but all out of specified range
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Chamber Pressure Units,Functional Acceptance,Chamber Pressure Units,True,2,psia,,N|A,,,ocr,,title,,,Source Bundle,thrust_nominal,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Harness Resistance,Functional Acceptance,Harness Resistance,True,2,6.1 (range violation),,Ohm,4.8,5.3,ocr,,number,,,Thermal Soak Low,TC-01,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Harness Resistance Quality,Functional Acceptance,Harness Resistance Quality,True,2,failure,,N|A,,,ocr,,title,,,Source Bundle,thrust_nominal,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thrust Nominal Value,Performance KPI,Thrust Nominal Value,True,2,5.32,,,4.8,5.5,ocr,,number,,,leak_check,Thermal Soak Low,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thrust Nominal Target,Performance KPI,Thrust Nominal Target,False,,,,,4.8,5.5,,,number,,,thermal_margin,Thermal Soak Low,Smart snap: group_after anchor 'thermal_margin' not found; group_before anchor 'Thermal Soak Low' not found
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thrust Nominal Confidence,Performance KPI,Thrust Nominal Confidence,True,2,0.97,,,0.0,1.0,ocr,4.000706214689266,number,,1.0,leak_check,Thermal Soak Low,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Power Draw Peak,Performance KPI,Power Draw Peak,True,2,131,,,130.0,155.0,ocr,4.001342281879195,number,,1.0,leak_check,Thermal Soak Low,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Power Draw Peak Source,Performance KPI,Power Draw Peak Source,True,2,Table 4,,N|A,,,ocr,,title,,,leak_check,Thermal Soak Low,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Power Draw Idle Source,Performance KPI,Power Draw Idle Source,True,2,Table 4,,N|A,,,ocr,,title,,,leak_check,Thermal Soak Low,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thermal Margin Low,Performance KPI,Thermal Margin Low,True,2,8,,N|A,,,ocr,2.0064516129032257,number,,1.0,leak_check,Thermal Soak Low,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thermal Soak High Status,Environmental,Thermal Soak High Status,False,,,,N|A,,,,,title,,,thermal_margin,Thermal Soak Low,Smart snap: group_after anchor 'thermal_margin' not found; group_before anchor 'Thermal Soak Low' not found
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thermal Soak High Duration,Environmental,Thermal Soak High Duration,True,3,1.5,,N|A,,,ocr,,title,,,thermal_margin,TC-01,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Thermal Soak High Duration,Environmental,Thermal Soak High Duration,True,3,1.5,,N|A,,,ocr,,number,,,thermal_margin,TC-01,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,Random Vib Z Amplitude,Environmental,Random Vib Z Amplitude,True,3,12.0,,grms,12.0,12.0,ocr,,number,,,thermal_margin,TC-01,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,TC-02 Post Trim,Calibration,TC-02 Post Trim,True,3,0.9989,,TC-01,0.99,1.01,ocr,,number,,,Sine Sweep,Severity,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,LVDT-2 Status,Calibration,LVDT-2 Status,True,3,Missing,,N|A,,,ocr,,title,,,Sine Sweep,Severity,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,LVDT-2 Pre-Trim,Calibration,LVDT-2 Pre-Trim,True,3,1.0040,,,,,ocr,,number,,,Sine Sweep,Severity,
FakeProgram_SV1_SN1111.pdf,FakeProgram,SV1,SN1111,LVDT-2 Post-Trim,Calibration,LVDT-2 Post-Trim,True,3,1.0040,,,,,ocr,,number,,,Sine Sweep,Severity,
